RepSouCDSCurve_QS_PC1,RepSouCDSCurve_QS_PC2,RepSouCDSCurve_QS_PC3,RepSouCDSCurve_PC1,RepSouCDSCurve_PC2,RepSouCDSCurve_PC3,REPSOU_5YR_CDS,US_NB_Level,US_NB_Slope,US_NB_Curvature,US_NB_Lambda,US_NB_R2,US_NB_Level_QS,US_NB_Slope_QS,US_NB_Curvature_QS,US_NB_Lambda_QS,US_NB_R2_QS,US_RB_Level,US_RB_Slope,US_RB_QS_Level,US_RB_QS_Slope,SA_NB_Level,SA_NB_Slope,SA_NB_Curvature,SA_NB_Lambda,SA_NB_R2,SA_NB_Level_QS,SA_NB_Slope_QS,SA_NB_Curvature_QS,SA_NB_Lambda_QS,SA_NB_R2_QS,SA_RB_Level,SA_RB_Slope,SA_RB_Curvature,SA_RB_Lambda,SA_RB_R2,SA_RB_Level_QS,SA_RB_Slope_QS,SA_RB_Curvature_QS,SA_RB_Lambda_QS,SA_RB_R2_QS,SAPMI_YoY,SACWC_YoY,OEZAA013_YoY,CESIUSD.Index,CESIEM.Index,CESIGL.Index,EcoSrpCITI_PC1,EcoSrpCITI_PC2,InflGrowthSurpPC1,InflGrowthSurpPC2,InflGrowthSurpPC1_QS,InflGrowthSurpPC2_QS,BCMPEBLS.Index,LEI.TOTL.Index,CONCCONF.Index,SSICCONF.Index,TINSALNL.Index,OPCVTPCR.Index,MichgnConcIndx_QuantileScale,MichgnConcIndx_TS,MichgnConcIndx,RandPPP_QuantileScale,RandPPP_Factor_Inst_TS_ST,RandPPP_Factor_Inst_TS_LT,RandPPP_Factor_Inst
-270.2090753219219,57.66707492825954,-3.390318847402829,0.521,0.765,0.146,145.026,3.686594080913014,-1.290469040632306,-10.69673026897467,1.37,0.9485099662754893,0.079,0.558,0.135,1.0,0.517,-0.959476211456202,0.8354282994509484,0.963,0.05,8.344699427279963,-2.129206431600384,-1.235625183768583,0.63,0.9774981069718174,0.365,0.272,0.414,1.0,0.49,2.964353035577499,-1.342008398621882,-2.570761154837617,0.67,0.9576787496647576,0.786,0.09,0.143,1.0,0.868,11.5,10.0,1.858200000000011,-38.4,18.2,15.1,-15.44701103693884,40.78679715984958,-0.0507061420963444,-0.4501139376354673,0.442,0.174,25.21,5.299999999999997,-1.299999999999997,-26.3,-3.0,-0.07799999999999996,0.375,6.266896577394733,68.9,0.004,-13.6608641930867,-26.36211961126193,0.4905733668118533
-278.6286256406622,59.18853079373724,-1.47383628990352,0.495,0.801,0.255,148.854,3.78677345373132,-1.452811446839094,-10.63864144426629,1.37,0.9526569308533304,0.106,0.52,0.147,1.0,0.569,-0.9124046522576157,0.7584193922589803,0.967,0.014,8.091401302691013,-1.936533994165299,-1.255765966750827,0.63,0.9658581678009618,0.342,0.32,0.407,1.0,0.399,2.909636954135536,-1.318393185608327,-2.466879693156371,0.67,0.9569031524630803,0.763,0.105,0.161,1.0,0.864,11.5,10.0,1.858200000000011,-16.9,22.3,21.2,5.882827126741776,33.31429430214857,-0.07188562971013442,-0.3857437221020939,0.423,0.236,25.21,5.299999999999997,-1.299999999999997,-26.3,0.0,-0.3480000000000001,0.375,6.266896577394733,68.9,0.004,-16.67491188815217,-26.08607037909806,0.4900172937851378
-269.9564211605528,59.06918150439613,-2.956752082294158,0.531,0.796,0.162,146.047,3.777582628957991,-1.149068368943892,-11.41090182156994,1.37,0.9411437134894071,0.105,0.601,0.031,1.0,0.438,-0.8594648823548894,0.7597276578841463,0.973,0.018,8.095272804998977,-2.352667734510467,-0.1684052639904332,0.63,0.9869331028840956,0.343,0.154,0.564,1.0,0.645,2.905391412109906,-1.30513773114441,-2.377736338604002,0.67,0.9501979468959029,0.754,0.122,0.177,1.0,0.854,11.5,10.0,1.858200000000011,-13.7,26.9,21.1,10.18886815338336,34.86085685919497,-0.04989014694330322,-0.3661430618460161,0.452,0.256,25.21,5.299999999999997,-1.299999999999997,-26.3,11.0,0.005000000000000004,0.375,6.266896577394733,68.9,0.006,-24.2784436548946,-25.95550026455661,0.4829561424814502
-275.8850513215684,58.53962880744139,-1.84594095158418,0.508,0.776,0.225,146.603,3.64413094391395,-1.033955612921824,-11.21415607340442,1.37,0.9337550924695395,0.077,0.615,0.045,1.0,0.387,-0.5856209945328712,0.6688777691039238,0.996,0.008,8.154643496700327,-2.409002301478124,-0.6207848196266236,0.63,0.9847377726120495,0.345,0.135,0.513,1.0,0.606,2.897429754389291,-1.303674045860693,-2.398206741814738,0.67,0.9524088570670889,0.753,0.123,0.174,1.0,0.859,11.5,10.0,1.858200000000011,-8.7,26.8,20.7,13.86846988906284,31.7491783174438,-0.05131117878539981,-0.3061624611732351,0.448,0.323,25.21,5.299999999999997,-1.299999999999997,-26.3,19.0,-0.09799999999999998,0.375,6.266896577394733,68.9,0.003,-28.39679941279405,-25.98578423936486,0.4657660894680852
-269.8356266785694,59.66904279595343,-0.847118836499314,0.541,0.811,0.327,143.417,3.534510234491124,-0.8908822014249721,-11.13725815575654,1.37,0.9240072010040538,0.051,0.63,0.057,1.0,0.346,-0.4067308503821638,0.6775987411850459,0.999,0.013,8.204932217328889,-2.46734833713316,-0.3101319299273527,0.63,0.9893216856092659,0.349,0.111,0.559,1.0,0.677,2.984530347526297,-1.410181883272776,-2.701703312966407,0.67,0.9678414837067958,0.79,0.064,0.123,1.0,0.938,2.899999999999999,14.0,1.778800000000004,-6.4,32.1,25.1,19.9081716226309,35.78416815375287,-0.1486170635520667,-0.3066803256179975,0.362,0.326,16.34,5.200000000000003,-4.799999999999997,-30.30000000000001,23.0,-0.127,0.3541666666666667,5.603815758816568,68.2,0.003,-31.69796648418929,-25.98738608647696,0.4531350066190875
-231.5299689927573,64.72728284972783,-0.4616153567756743,0.669,0.903,0.371,128.06,3.487306118760351,-0.7018839399238528,-11.59477822963014,1.37,0.9047115633418805,0.047,0.641,0.012,1.0,0.315,0.09895922918969262,0.5656621665111939,1.0,0.004,8.274405336566911,-2.530499100757942,-0.6360406881143428,0.63,0.9877645353920605,0.35,0.08,0.512,1.0,0.645,2.992971818974521,-1.381708819748293,-2.546222355115399,0.67,0.960306323132753,0.79,0.077,0.153,1.0,0.877,2.899999999999999,14.0,1.778800000000004,-2.8,34.4,28.2,25.14704483344031,36.39344479900177,-0.1358927205380748,-0.2831377152637224,0.372,0.357,16.34,5.200000000000003,-4.799999999999997,-30.30000000000001,13.0,-0.3129999999999999,0.3541666666666667,5.603815758816568,68.2,0.003,-34.434337945937,-26.0425330469646,0.4399330633542598
-213.8257203483444,66.7395035176539,-0.6991442641415172,0.706,0.924,0.346,117.65,3.723362013092066,-0.7753009543955672,-12.32037362459524,1.37,0.9085450102999236,0.106,0.637,0.001,1.0,0.321,0.07857749936323824,0.6128396586046039,0.996,0.012,8.293329571368101,-2.550355599868801,-1.275314376754023,0.63,0.9877378818269132,0.351,0.081,0.401,1.0,0.641,3.062676698981968,-1.440783070934943,-2.692100054704953,0.67,0.9618494112718327,0.797,0.059,0.129,1.0,0.882,2.899999999999999,14.0,1.778800000000004,-3.3,31.1,26.4,22.58821983999267,33.63005370808379,-0.02578110691063463,-0.2247956052205256,0.49,0.425,16.34,5.200000000000003,-4.799999999999997,-30.30000000000001,16.0,-0.04700000000000004,0.3541666666666667,5.603815758816568,68.2,0.008,-37.94954562713627,-26.37397859863441,0.4401231037749674
-214.5751514886697,63.48644658637036,-0.4103476040392539,0.709,0.873,0.381,119.229,3.70373459920478,-0.6954362130103832,-12.44365227911013,1.37,0.9100183402472211,0.106,0.646,0.001,1.0,0.321,0.08999333960910805,0.6172942497569178,0.994,0.017,8.418670564595985,-2.723430126266156,-1.20890968670708,0.63,0.9897447971812673,0.38,0.049,0.429,1.0,0.686,3.208216126400236,-1.51460062431805,-2.928593411487577,0.67,0.9700465083621196,0.806,0.046,0.085,1.0,0.945,2.899999999999999,14.0,1.778800000000004,-4.7,28.4,22.7,18.65009747789476,31.23330473590089,-0.01411552656976465,-0.2442451962877843,0.507,0.404,16.34,5.200000000000003,-4.799999999999997,-30.30000000000001,9.0,0.156,0.3541666666666667,5.603815758816568,68.2,0.02,-40.08128678475401,-27.07082491652665,0.4542309445487289
-200.8842400560698,76.37695083887344,-1.852148071365401,0.729,0.98,0.229,117.987,3.752144205570314,-0.6756651371489253,-12.70919935190002,1.37,0.9077696283449691,0.119,0.654,0.002,1.0,0.315,-0.0025594319214019,0.5804813402180105,0.987,0.007,8.429739634579319,-2.747505026088143,-1.565268135340578,0.63,0.9888929022626037,0.378,0.05,0.324,1.0,0.665,3.216669379274125,-1.543049903977709,-2.905896417134069,0.67,0.9664201578966899,0.806,0.044,0.087,1.0,0.92,4.699999999999996,14.0,1.727400000000003,1.7,17.3,19.7,17.73345124888716,18.2550397233215,-0.03957035671813019,-0.1774915833756631,0.475,0.523,16.34,4.799999999999997,1.199999999999996,-20.2,19.0,0.08099999999999996,0.3333333333333333,5.048723383905067,67.7,0.032,-39.92880334691515,-27.48893878333221,0.4629126134272034
-185.4812964024553,74.7865661462735,0.99010548456104,0.735,0.974,0.511,108.022,3.765534853173661,-0.6328607143573964,-12.88590213018709,1.37,0.8856060065887504,0.129,0.662,0.003,1.0,0.264,0.1633493574869779,0.6470357421269848,0.997,0.03,8.306415615843298,-2.605404182317457,-1.995100259807352,0.63,0.9881188536645426,0.339,0.078,0.268,1.0,0.648,3.205427820989818,-1.692971217364815,-2.28094636797216,0.67,0.94279835638553,0.797,0.015,0.216,1.0,0.811,4.699999999999996,14.0,1.727400000000003,26.0,12.2,20.3,34.91317110923205,0.4659294123836646,0.03357345335183163,-0.03400398403176289,0.546,0.747,16.34,4.799999999999997,1.199999999999996,-20.2,14.0,-0.4199999999999999,0.3333333333333333,5.048723383905067,67.7,0.003,-42.8134428038288,-27.87411092960108,0.4303699382290317
-208.8135080344152,71.70079900272691,-3.886019367090658,0.723,0.958,0.136,118.23,3.955404840456986,-1.039668664048723,-12.4697509759308,1.37,0.9034015741702572,0.181,0.615,0.012,1.0,0.301,-0.2473132928417099,0.7183252891847615,0.972,0.045,8.445296571034222,-2.723320751323164,-1.828270824443164,0.63,0.9940917398148572,0.383,0.057,0.299,1.0,0.791,3.095561015574736,-1.676845721612878,-2.43496522202175,0.67,0.9513261960917331,0.781,0.022,0.193,1.0,0.832,4.699999999999996,14.0,1.727400000000003,36.0,9.9,18.6,40.97541313756739,-7.603232481873177,0.04117149522425239,0.02743069049439627,0.554,0.838,16.34,4.799999999999997,1.199999999999996,-20.2,29.0,0.09199999999999997,0.3333333333333333,5.048723383905067,67.7,0.038,-43.19143212493569,-28.14988495048361,0.4580429389515698
-214.348598270121,72.74499436399731,1.407884947955869,0.714,0.965,0.541,120.588,4.052925890861449,-1.208277737826856,-12.37725597075012,1.37,0.9301362085487402,0.201,0.581,0.019,1.0,0.373,-0.4558855737952768,0.6816887300402636,0.966,0.044,8.569590729142293,-2.855123520172373,-1.649787723538917,0.63,0.9925988512551369,0.423,0.034,0.325,1.0,0.751,2.869078878470043,-1.577198115701079,-2.333245330650251,0.67,0.9332938983449036,0.71,0.044,0.217,1.0,0.783,4.699999999999996,14.0,1.727400000000003,29.7,10.1,21.6,37.57791772361829,-2.788721013837434,0.1492395967425091,0.02104865943791379,0.669,0.828,16.34,4.799999999999997,1.199999999999996,-20.2,23.0,-0.03000000000000003,0.3333333333333333,5.048723383905067,67.7,0.051,-40.09011218463051,-28.6154196572435,0.4633554357841121
