CESIGL.Index,InflGrowthSurpPC1,US_RB_QS_Level,US_NB_Slope_QS,RepSouCDSCurve_QS_PC1
15.1,-0.0507061420963444,0.963,0.558,-270.2090753219219
21.2,-0.07188562971013442,0.967,0.52,-278.6286256406622
21.1,-0.04989014694330322,0.973,0.601,-269.9564211605528
20.7,-0.05131117878539981,0.996,0.615,-275.8850513215684
25.1,-0.1486170635520667,0.999,0.63,-269.8356266785694
28.2,-0.1358927205380748,1.0,0.641,-231.5299689927573
26.4,-0.02578110691063463,0.996,0.637,-213.8257203483444
22.7,-0.01411552656976465,0.994,0.646,-214.5751514886697
19.7,-0.03957035671813019,0.987,0.654,-200.8842400560698
20.3,0.03357345335183163,0.997,0.662,-185.4812964024553
18.6,0.04117149522425239,0.972,0.615,-208.8135080344152
21.6,0.1492395967425091,0.966,0.581,-214.348598270121
19.8,0.2611290512859092,0.966,0.6,-235.1137129806902
14.7,0.3243127042813674,0.948,0.565,-220.322111296382
21.5,0.2179827606384457,0.862,0.354,-218.5822536767962
27.1,0.188903036046813,0.891,0.385,-219.7316816382047
24.6,0.3400158917018467,0.874,0.314,-233.8970899874649
23.0,0.4010587434890225,0.903,0.371,-223.6965116865157
31.9,0.3700216626543722,0.933,0.4,-228.9146597988455
27.0,0.3077299753412664,0.929,0.419,-227.6716550501175
33.5,0.2433501182640748,0.873,0.358,-223.4036825559112
27.7,0.2838916831027509,0.921,0.436,-246.6946583914569
36.8,0.2857284641932584,0.776,0.244,-241.3335641497206
31.2,0.2705868309226168,0.671,0.171,-240.2374387165456
33.0,0.1092183429028119,0.803,0.222,-242.7033954630061
34.4,0.1154777523569728,0.925,0.27,-238.7522424887538
38.2,0.1710638681284954,0.941,0.285,-224.6693713740376
24.1,0.1834801517025434,0.942,0.322,-216.6008397194232
23.6,0.0654130736901444,0.959,0.377,-214.5088083912525
24.4,0.1466863890736056,0.898,0.258,-203.4256509674878
26.3,0.116141166168334,0.917,0.224,-194.2451428928418
23.3,0.1166753573553065,0.929,0.181,-195.9956000593649
23.7,0.05502839041407594,0.942,0.278,-201.2210384756127
21.3,0.1162971758019388,0.947,0.289,-205.5348376719194
11.2,0.1055826444494231,0.974,0.384,-197.0035503099168
-0.4,0.07882184130213235,0.967,0.408,-201.6415597228287
2.9,0.005042661248252505,0.958,0.423,-204.1872191160779
-3.2,0.0696339533144535,0.951,0.492,-202.4923335300232
-10.8,0.100139412386009,0.96,0.611,-208.5652340573734
-28.6,0.1978711872987743,0.969,0.661,-203.8851239828276
-29.7,0.08201575003073594,0.963,0.674,-211.8356208896297
-36.1,-0.02728884199620311,0.954,0.707,-210.4357206384682
-37.9,-0.1199441175787086,0.964,0.758,-234.6334723787901
-34.9,-0.1754661005451402,0.928,0.557,-210.733403622365
-34.0,-0.1658975913844188,0.972,0.674,-220.3597814687528
-34.1,-0.1615081847531223,0.982,0.725,-228.608869839306
-37.2,-0.1909004197972651,0.976,0.716,-222.4547527554759
-34.3,-0.2258938689778786,1.0,0.813,-220.71736470684
-27.5,-0.1205798476744835,0.996,0.804,-260.8327243210259
-28.2,-0.09150024454271898,0.999,0.863,-295.29532992472
-35.8,-0.271165863975144,0.995,0.855,-274.038579140008
-38.2,-0.3335873265642798,0.988,0.857,-306.604643651267
-35.2,-0.4013812560554005,0.998,0.864,-287.730156454086
-31.2,-0.4254926091412355,0.997,0.884,-316.9631761992087
-29.9,-0.5785138396210093,0.982,0.857,-316.2672116393203
-27.7,-0.640626351787105,0.969,0.836,-448.7302535475148
-22.5,-0.650556737868693,0.957,0.838,-401.3612788174248
-16.8,-0.6543438379063242,0.953,0.796,-361.5374970158054
-8.3,-0.735151717369966,0.949,0.81,-307.5372740533503
-0.6,-0.6768934690172299,0.962,0.819,-344.2392527410571
-1.7,-0.4455499294102764,0.977,0.815,-294.3712896534446
-6.3,-0.3176933343624388,0.999,0.874,-329.8382023713579
-0.5,-0.2402724088059866,0.993,0.864,-352.121637170798
7.4,-0.182906983929877,0.959,0.839,-383.0252651439437
15.6,-0.152954860479009,0.958,0.863,-469.7634246932383
22.8,-0.06983572429261026,0.981,0.881,-336.5342272447716
21.4,-0.0741067309223333,0.955,0.901,-359.181010913518
18.6,-0.05149325258352068,0.972,0.913,-377.2873310713393
18.8,0.02709688518633041,0.955,0.836,-373.9707381952625
12.5,0.06794355894228472,0.969,0.925,-385.257344133722
19.7,0.06380415369386609,0.988,0.905,-400.0265954125484
15.9,0.06130006625776683,0.991,0.94,-394.0093042286216
25.4,0.08269954466081132,0.967,0.913,-364.2104208457799
25.9,0.09107851717360972,1.0,0.979,-335.4880774570838
32.3,0.01379002812690723,0.995,0.979,-316.7060054028116
29.4,0.009460252007886867,0.991,0.978,-325.5626682406831
32.1,0.01329704183048427,0.984,0.953,-314.6327620034848
28.5,-0.0255558817257606,0.994,0.952,-283.257188391994
25.5,-0.1195420748516964,0.983,0.966,-271.6542071803303
16.8,-0.1528422082239446,0.992,0.937,-277.1311825712912
15.7,-0.09530224895691264,0.955,0.833,-260.8869792376452
11.2,-0.0756710824293807,0.949,0.832,-276.3342877143824
10.7,-0.157518877743055,0.951,0.888,-278.0323995032842
9.9,-0.1504266042355047,0.958,0.95,-276.1238214745291
9.2,-0.2052406154698323,0.969,0.973,-281.4297988415645
5.2,-0.1978038394315966,0.986,0.965,-264.8672350740516
-6.4,-0.1415584421352438,1.0,0.993,-270.6003355470164
-18.8,-0.06324659910291938,0.987,0.999,-256.4384685357216
-30.7,-0.03468332059302404,0.987,1.0,-275.3905706334435
-26.4,-0.03229882333837419,0.992,0.974,-330.1012346797555
-32.1,-0.1158216272042779,0.966,0.973,-334.500696029038
-44.2,0.02166507291181654,1.0,1.0,-378.3525297960284
-39.5,0.05181115874851375,0.997,0.987,-320.00724516411
-43.2,0.05093550206059783,1.0,0.996,-275.234281294931
-46.2,0.0272787474916458,0.944,0.952,-297.0439188621795
-45.2,-0.1279139812525011,0.956,0.973,-285.8392070980624
-40.6,-0.1028338312303362,0.996,1.0,-272.708895415015
-38.0,0.004132418947475118,0.999,1.0,-246.928763901562
-36.5,-0.007334281242719504,1.0,1.0,-230.1883518884101
-33.8,-0.0280044226772472,0.99,0.989,-233.3359329920494
-30.4,-0.07429409100537454,0.997,0.981,-209.4149902988586
-28.9,-0.02373474318558513,0.987,0.968,-213.2567809277456
-26.2,0.1126464929887433,0.929,0.904,-239.8026777427287
-19.7,0.1085120984325466,0.99,0.944,-243.6182288196812
-16.5,0.1205177245862999,1.0,0.996,-256.271138905239
-12.7,0.09536660547602692,1.0,0.983,-211.8546832084504
-9.7,0.2334216482039579,1.0,0.956,-216.9231147500225
-6.3,0.2220371526411168,0.994,0.971,-238.7530437750208
-12.7,0.3101340356501188,0.997,0.993,-249.3712183925047
-3.1,0.2710742941372856,0.998,0.977,-277.5258163151439
0.8,0.207322884917256,0.985,0.968,-266.0730739063636
7.4,0.1642812679209607,0.975,0.88,-250.9126223250424
8.3,0.1147856575192625,0.962,0.893,-261.3271591814779
8.8,0.1438708501103452,0.971,0.932,-258.7310743476845
11.1,0.06073462130763516,0.977,0.966,-263.9516318747815
3.3,0.03069841907412128,0.971,0.978,-292.5352229066118
6.4,0.02343171220081241,0.951,0.914,-302.6723525398019
8.4,0.1692382564389946,0.97,0.968,-248.9395835674466
10.2,0.1910156337398513,0.99,0.976,-251.6171252628382
13.1,0.3297456356530811,0.954,0.868,-245.6489650590204
9.7,0.4262877712913147,0.926,0.856,-249.8425024730245
10.1,0.3761973298738916,0.921,0.847,-251.1843823307773
7.4,0.3015506162698691,0.902,0.789,-232.2145826476023
3.8,0.307877961486111,0.917,0.814,-243.983454357902
1.6,0.3433217960653283,0.937,0.81,-262.4465949075444
8.6,0.3489602986039735,0.888,0.753,-276.5356074252511
1.3,0.409930189004323,0.901,0.762,-297.6047892614659
6.0,0.3627265244164287,0.879,0.798,-292.8499540809909
1.9,0.3790578075391525,0.859,0.766,-293.8562498699278
1.7,0.3280224472508224,0.873,0.832,-298.7574162744922
3.5,0.2621281560094795,0.921,0.893,-302.7253424607364
8.1,0.241288430273147,0.829,0.724,-290.2607958038367
5.8,0.1106159809584774,0.889,0.789,-307.791885769115
0.4,0.1142190100982075,0.888,0.804,-312.6006743324439
-8.6,0.03365758299818532,0.922,0.859,-337.7182067493453
-18.5,0.0970614863978887,0.926,0.901,-293.0955591465397
-22.9,0.1339345458592244,0.9,0.883,-264.8626660298352
-27.5,0.2688206417270886,0.831,0.825,-306.3948988135103
-37.9,0.2714920972673784,0.888,0.906,-286.5288092944512
-35.1,0.3254602639081081,0.802,0.824,-262.6014653855518
-36.6,0.319082638370477,0.779,0.703,-264.5203051008639
-36.1,0.4253807018289255,0.709,0.68,-304.7137114117153
-36.8,0.3830841615694363,0.673,0.645,-302.3521413734856
-32.6,0.3886615026361873,0.588,0.54,-339.2320637517947
-30.9,0.5547369114735375,0.566,0.526,-354.6123820873821
-26.7,0.5998527134454938,0.559,0.555,-323.5255428421985
-16.4,0.6010713564454947,0.438,0.436,-447.0517048702128
-8.6,0.4077119594796798,0.459,0.459,-402.3436542544338
-8.6,0.3508900250796615,0.414,0.391,-415.7890222091283
-8.7,0.3653854536839755,0.453,0.426,-399.7652427293237
-5.1,0.271687312069355,0.506,0.48,-351.3473113016794
3.8,0.2742854993031771,0.484,0.477,-376.4862380725357
4.8,0.3192229595278198,0.495,0.478,-411.0913048131934
11.6,0.3078418505243858,0.502,0.467,-431.9918158354661
10.2,0.3606682978354616,0.365,0.369,-447.1084335108227
10.4,0.3455599116322847,0.36,0.349,-465.4592212964768
13.1,0.4263711499088194,0.354,0.345,-457.7634264758991
18.2,0.4062692579850362,0.261,0.296,-426.5262008578395
23.6,0.4672368334306856,0.308,0.298,-386.2989810570513
21.4,0.5253366659036437,0.418,0.379,-347.6886097876829
21.8,0.6269184921692951,0.423,0.395,-368.2483703920717
18.1,0.6034788250067501,0.43,0.393,-345.8127320779315
10.5,0.5902592696955439,0.409,0.41,-315.9196824859002
5.6,0.5770972218381742,0.445,0.469,-296.107366576311
2.4,0.6023997928169227,0.48,0.487,-317.9224914071185
-2.1,0.5906753269149768,0.384,0.452,-357.0368751316512
3.9,0.6181465806961618,0.367,0.45,-402.8658608140972
-2.6,0.6554548969016948,0.417,0.485,-369.4029176333386
-2.8,0.684126359451444,0.381,0.477,-373.6365525876693
-4.0,0.6256463878731063,0.344,0.492,-397.6192241125797
4.2,0.5939168507567217,0.266,0.404,-382.0696205852081
1.6,0.5522136176486651,0.265,0.337,-358.4645006782347
9.7,0.5405358827246016,0.22,0.296,-376.5315659395007
12.4,0.5640691958754225,0.184,0.275,-377.1998154353344
17.6,0.5315153489293479,0.204,0.276,-392.6889172345229
19.1,0.5327185400237707,0.284,0.277,-374.0437434880653
23.0,0.5821687830257826,0.277,0.275,-392.8093892785588
24.9,0.5882170267982593,0.267,0.29,-443.2354743936457
22.9,0.5405803779390552,0.326,0.314,-434.9323298623954
15.1,0.5074455888073747,0.342,0.378,-398.0257717997917
17.0,0.4788160262814471,0.272,0.307,-422.5773363189612
2.1,0.4742178141388683,0.286,0.302,-405.9807472849033
2.6,0.3486433658809368,0.345,0.315,-368.4104936495243
0.1,0.2229288429804778,0.281,0.259,-381.0987579217875
-9.3,0.2902566597452909,0.301,0.278,-387.829289844391
-8.3,0.3008458785553501,0.232,0.183,-387.2262318107188
-10.2,0.278205227186969,0.196,0.157,-354.953692755558
-16.9,0.3036741108028579,0.201,0.173,-348.6251506541529
-23.2,0.102928405934817,0.261,0.238,-345.3487473813457
-22.4,-0.01048680553997488,0.3,0.143,-338.1760478525829
-21.5,-0.01767644990350646,0.323,0.14,-360.3621636070013
-20.8,0.0509174576729864,0.36,0.166,-341.6720066857957
-20.1,0.0112625581140369,0.357,0.201,-336.5777543368943
-16.2,-0.1621433682266459,0.427,0.224,-323.7975298140659
-10.2,-0.1570784763153148,0.452,0.237,-332.1845968763956
-14.2,-0.2275209310485931,0.452,0.242,-319.4722458042714
-16.6,-0.2625129238845647,0.346,0.182,-311.5039615865997
-14.5,-0.1231240669299619,0.317,0.132,-334.1268209263343
-12.7,-0.2548095466442626,0.384,0.082,-324.4559459353939
-15.0,-0.05908890754411689,0.448,0.164,-326.8223145071613
-13.0,-0.05905063384139821,0.36,0.072,-339.5781195218923
-16.6,-0.05564308773874255,0.444,0.146,-334.9044540566168
-16.6,-0.06176497377784117,0.4,0.079,-333.7862921268315
-15.7,-0.002142732993925867,0.414,0.077,-329.0060509453962
-13.2,0.07952740307673177,0.386,0.12,-343.2449809022821
-9.2,0.08279162810015005,0.414,0.162,-366.8652098512755
-17.1,0.07729667501798355,0.447,0.214,-328.112576415687
-16.5,0.1053379450599793,0.319,0.082,-326.0064319436019
-10.7,0.1403140401009128,0.329,0.126,-297.6904644683202
-9.7,0.1530454449027714,0.274,0.08,-298.2769903526481
-9.2,0.1334416869789662,0.14,0.045,-312.5613512546678
-15.2,0.3563725033613222,0.073,0.04,-309.7988035387779
-12.2,0.3705269129813769,0.081,0.042,-330.0067518850597
-15.0,0.3729372807582521,0.119,0.06,-368.9829044005054
-18.4,0.3284475162995383,0.21,0.212,-342.3477175931863
-16.6,0.3859557347992552,0.224,0.298,-332.9209992832884
-13.2,0.3129078532306764,0.185,0.268,-324.5986770041719
-11.1,0.3886416655591032,0.162,0.137,-308.091373406415
-9.8,0.4260704375737763,0.205,0.16,-319.5998147336468
-3.4,0.4096029849830261,0.116,0.15,-312.5815076909533
-5.0,0.1641702361019636,0.1,0.149,-286.7626602001475
-4.1,0.1285098570501751,0.174,0.274,-277.7428769414782
-3.2,0.1801271906357229,0.024,0.067,-310.6457036691799
-5.2,0.1931471370141945,0.053,0.202,-358.9643142158462
1.2,0.2922509718600896,0.03,0.075,-338.657284818745
3.4,0.3392120699354147,0.004,0.034,-313.8343878859083
3.3,0.3219434521564309,0.082,0.098,-319.0387002840064
0.1,0.3768984525146894,0.119,0.212,-344.2091525976141
-5.7,0.3678266352139775,0.238,0.335,-347.1512542084101
-4.4,0.3333719211569694,0.25,0.284,-327.5688622531628
-1.0,0.3594658467153986,0.469,0.362,-368.3263992263094
-3.5,0.3480084973858736,0.221,0.11,-330.6322125076754
-2.3,0.2837375169109928,0.135,0.092,-327.2889202839667
-6.1,0.5144517432516007,0.097,0.064,-320.5287172462214
-5.2,0.4118496642711302,0.324,0.115,-323.2565907067949
-5.1,0.4387180807879267,0.103,0.023,-343.0862421891675
-5.1,0.7535382900580164,0.084,0.079,-370.8441111201772
-12.3,0.7517150192398416,0.384,0.245,-347.1188577509367
-8.3,0.6964878615831458,0.393,0.266,-349.6781016934359
-0.7,0.6196673221762038,0.503,0.361,-353.3710381304438
-0.8,0.6133545263829231,0.425,0.246,-343.8248946420978
-9.0,0.5862072515686683,0.504,0.316,-370.6706281720744
-15.2,0.570498131205773,0.499,0.323,-360.1885658320986
-18.2,0.6584884815443792,0.416,0.114,-357.5096115491765
-18.7,0.6599930355767895,0.306,0.176,-351.2684796414002
-19.0,0.9224746093903228,0.302,0.243,-345.396349145886
-19.4,0.8227415443641009,0.247,0.091,-339.1930127013343
-20.8,0.7842284198566466,0.266,0.162,-351.6445840352714
-15.4,0.8309259862239315,0.063,0.007,-370.0184783732901
-7.1,0.7968276882857365,0.072,0.015,-363.6177676167306
-9.9,0.8579927551446072,0.216,0.068,-355.2830177730863
-7.8,0.7874364909346101,0.077,0.017,-350.7954670750307
-9.1,0.9145193148838401,0.161,0.115,-358.2219759853401
-6.1,0.8907015982301569,0.076,0.071,-356.6580028874351
-2.4,0.7636816462176084,0.054,0.076,-351.7830517148001
-5.1,0.7413335382792652,0.05,0.121,-380.6004311270452
-2.6,0.8851796181502268,0.113,0.234,-380.35891347413
3.5,0.8356226365149095,0.031,0.256,-386.154207630353
0.3,0.6720234806398225,0.01,0.27,-426.7172880976772
-1.8,0.7316880442504885,0.034,0.389,-454.1857406390089
0.8,0.7806759897815148,0.028,0.325,-442.109959825677
-6.4,0.7583758365138168,0.017,0.359,-479.6103621660833
-8.7,0.7049638188427477,0.033,0.36,-479.5885180197381
-12.1,0.7395845251790426,0.064,0.243,-446.3685296801481
-12.0,0.6995834851368651,0.007,0.136,-544.9035651971926
-7.8,0.7657784581090314,0.172,0.357,-569.7838609667564
-11.6,0.7062354658713605,0.113,0.242,-481.047649171492
-8.7,0.8282076378161854,0.131,0.303,-446.2068367678323
-0.7,0.8072610290947232,0.089,0.311,-480.5795818356749
-0.8,0.9186037774150999,0.04,0.311,-466.0664509218112
3.9,0.8703179578372168,0.001,0.152,-490.1164817583817
3.5,1.124654250572123,0.006,0.24,-514.3954620123375
1.5,1.080673982712629,0.027,0.134,-462.4056945332878
1.6,1.107396518964786,0.056,0.307,-469.4977379375129
-1.1,1.092802913161079,0.017,0.42,-496.3126067224133
4.8,0.949222904257462,0.03,0.546,-653.7951986704857
6.9,0.893739621267226,0.013,0.388,-652.7968060611215
3.3,0.8834708112680661,0.01,0.315,-653.1759290444905
0.4,0.8541543249069589,0.022,0.3,-593.429946432629
0.1,0.89143790165577,0.067,0.488,-677.8994600782511
-7.8,0.8591558011363198,0.062,0.496,-723.1598957818642
-16.3,0.8957635258626033,0.053,0.504,-707.9134717146509
-20.1,0.8476581698838893,0.248,0.636,-594.3555558470836
-21.4,0.8805436242614099,0.22,0.664,-677.8918399626576
-20.3,0.8059692065550065,0.256,0.658,-704.0899886853852
-19.7,0.5262480072581885,0.249,0.668,-671.3766137426196
-21.2,0.3151724324738558,0.427,0.668,-667.8554021392466
-19.8,0.362812609438134,0.418,0.617,-639.8058070338273
-23.5,0.3165703442584665,0.35,0.558,-513.5358707171793
-16.7,0.2315605819362891,0.574,0.63,-602.6403589643338
-15.4,0.2134880470134885,0.478,0.597,-539.760253354372
-6.2,0.1979104979991089,0.691,0.673,-548.3177414329466
-4.6,0.2136999941198263,0.706,0.678,-581.0265230070064
0.8,0.5783833955295995,0.66,0.67,-538.2621866703199
-2.2,0.6032258783907785,0.661,0.57,-515.779262026541
-0.8,0.622663137506897,0.742,0.674,-520.2145726320382
-4.7,0.5429489603339953,0.719,0.687,-556.3660058007179
-6.6,0.5244181620271935,0.744,0.678,-557.8257269032916
-2.6,0.4719482009624614,0.589,0.616,-590.2228170845166
-0.2,0.4494353616713614,0.596,0.618,-588.7715086902473
3.4,0.3768582194867025,0.704,0.717,-558.9934218212238
0.9,0.3446973398573594,0.766,0.742,-534.9321975026355
-2.4,0.2728050278372862,0.732,0.735,-557.7074770426324
-2.8,0.3004418983089555,0.753,0.772,-525.9056133941208
-1.9,0.4215087630991292,0.793,0.777,-534.0073588193005
1.1,0.4120479866893889,0.797,0.777,-516.5025857285747
5.3,0.3077770328246973,0.766,0.747,-476.2504336993594
10.4,0.3001802711804079,0.764,0.765,-479.3001819170126
12.8,0.3170532955230258,0.801,0.781,-486.1703353556146
15.2,0.3309969954203885,0.74,0.769,-444.4644129393727
14.6,0.4829108797540965,0.746,0.779,-431.0623593953189
9.5,0.5381130670662239,0.726,0.746,-431.3123591477494
8.6,0.5148225323816896,0.645,0.711,-479.8181501632255
0.8,0.4569134394002088,0.655,0.725,-486.5538597457499
-4.8,0.4523251573255572,0.631,0.768,-465.6625311197103
-5.6,0.3429951940101396,0.665,0.783,-475.7967060915378
-8.7,0.3305421849654664,0.821,0.721,-477.8258721543991
-2.6,0.3139759817722126,0.845,0.774,-494.0474553528497
0.5,0.2992138549708753,0.793,0.697,-480.7184802586329
-1.6,0.2611793639968215,0.774,0.693,-504.4302832969169
-7.7,0.3113153763284529,0.848,0.722,-484.42578714616
3.7,0.2561224942188806,0.802,0.695,-490.048221694767
6.9,0.2416620980694025,0.823,0.808,-460.9640290464816
7.3,0.2187636702468677,0.611,0.645,-490.2080974817201
11.7,0.413189952351382,0.369,0.443,-492.7767616955099
15.2,0.3887509599354831,0.347,0.385,-492.7767616955099
21.9,0.4740052592404387,0.332,0.384,-492.7767616955099
22.6,0.4390280544530142,0.333,0.375,-492.7767616955099
23.2,0.358370562602855,0.048,0.09,-492.7767616955099
25.7,0.4664393673683901,0.171,0.178,-492.7767616955099
27.0,0.439805677878572,0.304,0.27,-492.7767616955099
34.9,0.3526251701662235,0.353,0.205,-492.7767616955099
42.5,0.3223244082643029,0.398,0.242,-396.9313562348264
41.4,0.2953298639784668,0.399,0.217,-399.6505634155001
37.6,0.2949799823594466,0.445,0.251,-398.3062168638347
40.4,0.2787479858759068,0.382,0.275,-397.2934272840455
39.7,0.2594726306310884,0.419,0.324,-380.7436672702823
42.4,-0.006593584428394163,0.367,0.341,-363.833833159147
46.4,-0.01314984413326741,0.591,0.542,-365.461780242413
46.4,0.01378754106239304,0.312,0.503,-361.9096914515365
45.4,0.009524587165526505,0.152,0.464,-361.9096914515365
45.0,-0.09782645114926461,0.261,0.553,-361.9096914515365
46.4,-0.0840480535704856,0.278,0.648,-361.9096914515365
38.8,-0.1868972436147389,0.283,0.686,-361.9096914515365
31.5,-0.1960517240267543,0.24,0.718,-361.9096914515365
31.4,0.1741164890538546,0.508,0.862,-361.9096914515365
30.9,0.1659116368930561,0.555,0.838,-361.9096914515365
31.5,0.09833929911580429,0.552,0.866,-366.2635745114702
25.9,0.1490552405041218,0.309,0.799,-367.8484421174066
21.6,0.01656243819225945,0.343,0.884,-372.2038578966837
17.2,0.0007179827122430195,0.479,0.928,-372.3398707589463
11.5,0.03672763276170705,0.436,0.984,-349.8232041440621
5.5,0.05044888080540426,0.576,0.991,-353.8556782520634
1.9,0.06323426901415241,0.418,0.988,-353.7883034969079
-8.0,0.2673147575641551,0.259,0.997,-351.8925430116658
-11.4,0.2412610817297163,0.306,0.962,-363.9071116290978
-7.3,0.3563285216413281,0.142,0.912,-381.0886963955904
0.8,0.3701916998997206,0.07,0.863,-406.4291737753912
-6.4,0.4711236133585197,0.151,0.92,-372.9766803705712
-4.0,0.4425648993127606,0.29,0.932,-356.1253355820944
-1.4,0.4905415961805134,0.328,0.968,-346.3881513218872
0.9,0.3984219138454353,0.288,0.97,-336.055071006815
1.2,0.5855258512737852,0.447,1.0,-352.8407198011242
4.3,0.5577675613294925,0.358,0.992,-343.4916420121159
5.7,0.5749425350340832,0.291,0.959,-329.6576225922504
11.0,0.5879208597655172,0.517,0.964,-317.4469466068171
11.2,0.5741574945193355,0.664,0.999,-322.9584548798185
8.9,0.5298387804152044,0.511,0.961,-306.6414570759389
18.4,0.506607225640135,0.342,0.892,-350.4467627268844
17.5,0.5625541803943743,0.181,0.85,-352.4611512345492
21.4,0.4179366740733148,0.281,0.807,-332.6644109114919
26.0,0.4688837743253731,0.329,0.923,-322.0797135774811
21.5,0.4460498682167746,0.171,0.782,-326.4737175067353
32.0,0.3708972674177057,0.159,0.797,-358.1007067528195
31.9,0.3374909672151517,0.205,0.826,-359.9485890359196
28.1,0.3311747593017194,0.155,0.837,-397.039829911002
31.3,0.1673340852990876,0.152,0.855,-363.7346191439069
34.0,0.1427731869670828,0.119,0.881,-360.1466528773173
28.6,0.0892777162195014,0.098,0.778,-344.4905741639037
32.5,0.112669021846337,0.102,0.75,-335.2301158595653
33.1,0.1033731204029394,0.151,0.737,-324.3924511804059
33.6,0.05598257489576827,0.067,0.704,-302.0514844365474
29.6,0.03077139529872502,0.211,0.762,-293.0290328610041
30.7,0.006170495055961562,0.2,0.694,-275.115894461407
33.3,0.1020986422323314,0.078,0.643,-262.1752834723775
31.7,0.1014019238221947,0.054,0.604,-276.6576414824717
24.1,0.1166536741597914,0.029,0.578,-268.3313873292024
22.0,0.02044396533276673,0.001,0.54,-274.984118708919
21.5,0.01111887215303762,0.001,0.659,-312.6254375988653
20.7,-0.2794914427864004,0.007,0.623,-264.0295453391537
14.1,-0.2700019526703176,0.015,0.628,-267.9326721844288
11.3,-0.2642173928654009,0.013,0.633,-278.4323766239089
18.7,-0.2710182918317699,0.003,0.617,-256.3258421384376
19.1,-0.3178294015494654,0.016,0.684,-272.3692227181255
13.3,-0.3411995812569008,0.022,0.676,-307.4798573631353
11.9,-0.3749060127046706,0.031,0.746,-282.7839651834706
-1.5,-0.3833876227069447,0.045,0.68,-283.4051274682224
-12.0,-0.3973609983121337,0.029,0.615,-289.5255428765871
-14.4,-0.3977635068492777,0.004,0.544,-290.122416728586
-8.0,-0.4676162537496366,0.008,0.539,-298.6179453775946
-16.7,-0.4020854115379732,0.012,0.541,-318.915843415169
-18.4,-0.2437117479058895,0.005,0.517,-302.120996271447
-21.8,-0.2397926075410753,0.004,0.521,-341.5262950689125
-23.3,-0.2107651794404491,0.01,0.616,-311.4981469482818
-21.1,-0.3018752313645279,0.031,0.664,-332.2639928636348
-28.6,-0.3088099665017819,0.026,0.647,-365.8611535520071
-31.6,-0.3887081972168221,0.028,0.53,-392.3917452459348
-25.9,-0.3318466876893446,0.045,0.589,-378.6665082016355
-20.1,-0.3942374889646425,0.066,0.637,-412.7365813163619
-7.7,-0.4004603843498987,0.096,0.671,-389.6046946400911
-2.5,-0.4241563756272464,0.076,0.659,-345.5096372984462
-4.6,-0.3919429890487434,0.035,0.618,-349.5541935066739
-5.1,-0.4004064970123988,0.007,0.552,-342.9686537234523
-8.7,-0.2992365614479821,0.015,0.662,-347.2056665712609
-7.7,-0.2844389154717035,0.042,0.782,-394.7990627508175
-8.3,-0.262473595574195,0.031,0.798,-427.4121426292806
-7.0,-0.2318480584973011,0.081,0.819,-397.4887025652971
-4.5,-0.2276440342960276,0.055,0.876,-441.6704206897549
-1.8,-0.2722250855378349,0.013,0.723,-464.3296848737664
-6.0,0.04689819892160143,0.001,0.604,-421.8151353955807
-5.6,0.05648826804822899,0.003,0.625,-405.2629573834718
-7.7,0.1163938261285773,0.009,0.595,-387.0330852312774
-8.4,0.1153112346965973,0.001,0.492,-425.4274662584442
-5.2,0.1708594408652108,0.004,0.676,-434.3209106188701
-10.0,0.1626910631768326,0.001,0.622,-421.0492924280005
-13.5,0.2033463629173511,0.017,0.928,-447.9892069381262
-15.3,0.1356544522966099,0.001,0.72,-431.2226389685306
-13.7,-0.004260762367452746,0.002,0.691,-427.3522227230898
-14.4,-0.01725476553270975,0.022,0.978,-435.767321267171
